"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"12m","ehsmixed_center",FALSE,"LATE","short","m_age",0.00643824666420188,0.00624300159089845,0.302738589397501,233.06884069899,768
"12m","ehsmixed_center",TRUE,"ITT","none","Constant",-0.590136516120376,0.0731194329169641,3.22292397315452e-14,NA,245
"12m","ehsmixed_center",TRUE,"ITT","none","R",0.22690996530225,0.101160477791405,0.0257942025166222,NA,245
"12m","ehsmixed_center",TRUE,"ITT","all","Constant",-3.93811723506503,1.25775891430389,0.00196160850038588,NA,245
"12m","ehsmixed_center",TRUE,"ITT","all","R",0.219926791084649,0.0997331606540005,0.0284084596014114,NA,245
"12m","ehsmixed_center",TRUE,"ITT","all","m_iq",0.0175886803355687,0.00653776391054459,0.0076484028342647,NA,245
"12m","ehsmixed_center",TRUE,"ITT","all","sex",-0.257083377499878,0.10050513079797,0.0111563914221631,NA,245
"12m","ehsmixed_center",TRUE,"ITT","all","m_age",0.0066635622625507,0.00987716410359015,0.500562787255469,NA,245
"12m","ehsmixed_center",TRUE,"ITT","all","sibling",-0.00764069236530986,0.0409907424148924,0.852290876217545,NA,245
"12m","ehsmixed_center",TRUE,"ITT","all","gestage",0.0472705849342043,0.0273741456726167,0.0855061199045838,NA,245
"12m","ehsmixed_center",TRUE,"ITT","all","mf",0.0254301908962526,0.220010842369031,0.90807888379829,NA,245
"12m","ehsmixed_center",TRUE,"ITT","all","poverty",0.113021226352383,0.177177959335474,0.524159400565177,NA,245
"12m","ehsmixed_center",TRUE,"ITT","short","Constant",-2.21539146749957,0.573125406867077,0.000142638822645761,NA,245
"12m","ehsmixed_center",TRUE,"ITT","short","R",0.241823263180671,0.100057373969056,0.0163993274765048,NA,245
"12m","ehsmixed_center",TRUE,"ITT","short","m_iq",0.0179302664928904,0.00652217746929433,0.00642805751520091,NA,245
"12m","ehsmixed_center",TRUE,"ITT","short","m_age",0.00548003585615586,0.00940407509697894,0.560619957818895,NA,245
"12m","ehsmixed_center",TRUE,"LATE","none","Constant",-0.6180102930481,0.0834324266674381,2.11700820059372e-12,50.9915442066065,245
"12m","ehsmixed_center",TRUE,"LATE","none","D",0.652246380108733,0.293893628624501,0.0273884081696513,50.9915442066065,245
"12m","ehsmixed_center",TRUE,"LATE","all","Constant",-3.22666755322543,1.30791847859554,0.0143353715902816,50.4489591004992,245
"12m","ehsmixed_center",TRUE,"LATE","all","D",0.639947985520919,0.295724395533274,0.0314679870821374,50.4489591004992,245
"12m","ehsmixed_center",TRUE,"LATE","all","m_iq",0.0180459046970718,0.00667477649460849,0.00735840325444896,50.4489591004992,245
"12m","ehsmixed_center",TRUE,"LATE","all","sex",-0.201466764945339,0.106854854959045,0.0606009704707846,50.4489591004992,245
"12m","ehsmixed_center",TRUE,"LATE","all","m_age",-0.00175656374463201,0.0106309814970836,0.868903905766836,50.4489591004992,245
"12m","ehsmixed_center",TRUE,"LATE","all","sibling",-0.0105687011634348,0.0417972379294233,0.800599250522661,50.4489591004992,245
"12m","ehsmixed_center",TRUE,"LATE","all","gestage",0.0312523656609577,0.0290318764406503,0.282809819333962,50.4489591004992,245
"12m","ehsmixed_center",TRUE,"LATE","all","mf",0.0948951254168754,0.225457330325278,0.674210708838026,50.4489591004992,245
"12m","ehsmixed_center",TRUE,"LATE","all","poverty",0.0441309028798706,0.185608273708536,0.812270694454618,50.4489591004992,245
"12m","ehsmixed_center",TRUE,"LATE","short","Constant",-2.10854056446385,0.577169213167243,0.000317715558985643,52.9451571381079,245
"12m","ehsmixed_center",TRUE,"LATE","short","D",0.686836883066338,0.288544578757777,0.0180746680081504,52.9451571381079,245
"12m","ehsmixed_center",TRUE,"LATE","short","m_iq",0.018179569310257,0.00662755351188659,0.00654482331053466,52.9451571381079,245
"12m","ehsmixed_center",TRUE,"LATE","short","m_age",-0.0022569138338358,0.00998272712289548,0.821329349664006,52.9451571381079,245
"12m","ehscenter",FALSE,"ITT","none","Constant",-0.242531230635508,0.0765481316119589,0.00165954384747028,NA,375
"12m","ehscenter",FALSE,"ITT","none","R",0.184036294371584,0.100167808288209,0.0669639369315216,NA,375
"12m","ehscenter",FALSE,"ITT","all","Constant",-3.17141016031555,1.19220639750199,0.00815775323617641,NA,375
