"sample","group","m_edu_hs_or_above","above_poverty","black","N","ITT","ITT_se","ITT_p","LATE","LATE_se","LATE_p"
"EHS Center+Mixed","",0,0,0,145,0.031462194206214,0.182641505914899,0.863475099822004,0.0419069063504795,0.243375879266398,0.863531566366734
"EHS Center+Mixed","Subsample (Black, mother <=HS)",NA,NA,NA,245,0.22690996530225,0.101160477791405,0.0257942025166221,0.406970495852275,0.181181353716939,0.0255897901137304
"EHS Center+Mixed","Complement of subsample",NA,NA,NA,523,0.0695040638929322,0.0924636867240991,0.452576700564327,0.0877763019032218,0.116657610953506,0.452134300336211
"EHS Center+Mixed","White",NA,NA,NA,278,0.000392874553671722,0.126606242589127,0.997526312919999,0.000494132729079735,0.159236626399107,0.99752630225802
"EHS Center Only","",NA,NA,NA,375,0.184036294371582,0.100167808288208,0.0669639369315227,0.296646188294918,0.16129513821753,0.0666875842835531
"EHS Center Only","",NA,NA,1,152,0.391749673289461,0.126685381145676,0.00236885466060432,0.860851192897223,0.289731844995074,0.00345597877531886
"EHS Center Only","",NA,NA,0,220,0.0879548578637308,0.13949003419995,0.528997973264892,0.118285836594768,0.187658658765609,0.529142511206386
"EHS Center Only","",NA,1,NA,45,0.549575722893747,0.303025613663108,0.0767177657009706,0.677715140148766,0.381391791833287,0.0826504865806495
"EHS Center Only","",NA,0,NA,330,0.135136910445367,0.106183992093593,0.204037452762524,0.227101521421323,0.178067084367957,0.203080661850115
"EHS Center Only","",1,NA,NA,224,0.218395431346556,0.131025671215441,0.0969615401659356,0.313852347716809,0.188167385934416,0.0967370451525315
"EHS Center Only","",0,NA,NA,151,0.101499038515893,0.148625078432916,0.495717850455494,0.204162641116586,0.300838072695851,0.498414708031008
"EHS Center Only","",NA,1,1,22,0.552762441053277,0.408813679316524,0.19143214598888,0.853530239861678,0.671403500979491,0.218221830032538
"EHS Center Only","",NA,1,0,23,0.552762457155264,0.466270105421946,0.249062263537589,0.598825995251536,0.506104430865932,0.249949616488975
"EHS Center Only","",NA,0,1,130,0.347817352980071,0.13086511849642,0.00886740261765523,0.829113678453077,0.324345235346436,0.0117484575406959
"EHS Center Only","",NA,0,0,197,0.0333121201487344,0.146043220435551,0.819809305488636,0.0461080813922587,0.202180430604822,0.819843118656229
"EHS Center Only","",1,NA,1,88,0.402972952526369,0.175423307313984,0.0240395167596356,0.703874601635042,0.305407239122697,0.0235920866176033
"EHS Center Only","",1,NA,0,136,0.105566336324843,0.173656631293714,0.544280919152468,0.136160401947648,0.224151448008876,0.544581500584644
"EHS Center Only","",0,NA,1,64,0.380572179754157,0.17607358803966,0.0345310612331274,1.28839540020939,0.76733691398742,0.0981761835967208
"EHS Center Only","",0,NA,0,84,-0.0181137870083064,0.224014747207858,0.935750483188178,-0.0270171738428981,0.333876541972843,0.935703028061483
"EHS Center Only","",1,1,NA,33,0.762074419402558,0.405459409583513,0.0696002420615436,1.00733974978499,0.553519773025222,0.0784460914375201
"EHS Center Only","",1,0,NA,191,0.143843611479377,0.137892404331344,0.298207413602403,0.20939856884211,0.200333982181807,0.29724364233099
"EHS Center Only","",0,1,NA,12,NA,NA,NA,NA,NA,NA
"EHS Center Only","",0,0,NA,139,0.117764330519929,0.158526256495945,0.458832571371449,0.252085097530189,0.342194656534214,0.462581683657002
"EHS Center Only","",1,1,1,19,0.680240602631654,0.424409872592555,0.127397164685106,1.07811718152941,0.741705033181473,0.16427850856579
"EHS Center Only","",1,1,0,14,NA,NA,NA,NA,NA,NA
"EHS Center Only","",1,0,1,69,0.31751033609426,0.189288077460787,0.0981255248990949,0.570425455142738,0.331539017004758,0.089950387458537
"EHS Center Only","",1,0,0,122,0.06695870662442,0.173027271375331,0.699453820017452,0.0881163022823163,0.227901600566497,0.699706109372681
"EHS Center Only","",0,1,1,3,NA,NA,NA,NA,NA,NA
"EHS Center Only","",0,1,0,9,NA,NA,NA,NA,NA,NA
"EHS Center Only","",0,0,1,61,0.380434840619111,0.178840800369363,0.0375919490760926,1.44468926817384,0.925761704254437,0.123980446193078
"EHS Center Only","",0,0,0,75,-0.0378413921343295,0.247573474539707,0.878938950526297,-0.0575089577830926,0.375674133607717,0.878755950147638
"EHS Center Only","Subsample (Black, mother <=HS)",NA,NA,NA,110,0.478164854941002,0.141370085475761,0.00100177018422576,1.21380309331177,0.41851230117461,0.00451795640068182
"EHS Center Only","Complement of subsample",NA,NA,NA,265,0.0790118263160772,0.122974829462583,0.521105649740852,0.110589451584768,0.171970807854162,0.520738254277781
"EHS Center Only","White",NA,NA,NA,115,-0.123426059394251,0.178363410797993,0.490361781053869,-0.168641546499076,0.244480557425287,0.491737095882255
"ABC","",NA,NA,NA,103,0.972460534716981,0.18055647982304,4.71566498481055e-07,1.1008203404528,0.202109551167638,3.62515245713313e-07
"ABC","",NA,NA,1,101,0.917122564313727,0.17920232697463,1.51937306307518e-06,1.04079329728527,0.201085223902844,1.19041035547949e-06
"ABC","",NA,NA,0,2,NA,NA,NA,NA,NA,NA
"ABC","",NA,1,NA,12,NA,NA,NA,NA,NA,NA
"ABC","",NA,0,NA,90,0.929398367588934,0.187708903985823,3.52711887125937e-06,1.04505683111111,0.212511231410037,4.0361791785423e-06
"ABC","",1,NA,NA,34,0.717928578754579,0.345123099245724,0.0455972978302492,0.753825007692308,0.350264559293297,0.0390318143424286
"ABC","",0,NA,NA,69,1.11192849662162,0.214768344008802,2.23205214708389e-06,1.29834648915187,0.254373783800834,2.95140788450915e-06
"ABC","",NA,1,1,10,NA,NA,NA,NA,NA,NA
"ABC","",NA,1,0,2,NA,NA,NA,NA,NA,NA
"ABC","",NA,0,1,90,0.929398367588934,0.187708903985823,3.52711887125937e-06,1.04505683111111,0.212511231410037,4.0361791785423e-06
"ABC","",NA,0,0,0,NA,NA,NA,NA,NA,NA
"ABC","",1,NA,1,33,0.61955451923077,0.329638264947405,0.0696051715683154,0.652162651821862,0.335849025471513,0.0612924812824544
"ABC","",1,NA,0,1,NA,NA,NA,NA,NA,NA
"ABC","",0,NA,1,68,1.08253594420227,0.21648199007786,4.47917907415584e-06,1.26700890612245,0.256880036249787,5.78573969424783e-06
"ABC","",0,NA,0,1,NA,NA,NA,NA,NA,NA
"ABC","",1,1,NA,8,NA,NA,NA,NA,NA,NA
"ABC","",1,0,NA,25,0.529537833333333,0.357142719217908,0.151726040797488,0.529537833333333,0.357142719217907,0.151726040797488
"ABC","",0,1,NA,4,NA,NA,NA,NA,NA,NA
"ABC","",0,0,NA,65,1.07455580076628,0.22410513372237,1.03334962417464e-05,1.26761158870057,0.26801023158217,1.31003737133748e-05
"ABC","",1,1,1,7,NA,NA,NA,NA,NA,NA
"ABC","",1,1,0,1,NA,NA,NA,NA,NA,NA
"ABC","",1,0,1,25,0.529537833333333,0.357142719217908,0.151726040797488,0.529537833333333,0.357142719217907,0.151726040797488
"ABC","",1,0,0,0,NA,NA,NA,NA,NA,NA
"ABC","",0,1,1,3,NA,NA,NA,NA,NA,NA
"ABC","",0,1,0,1,NA,NA,NA,NA,NA,NA
"ABC","",0,0,1,65,1.07455580076628,0.22410513372237,1.03334962417464e-05,1.26761158870057,0.26801023158217,1.31003737133748e-05
"ABC","",0,0,0,0,NA,NA,NA,NA,NA,NA
"ABC","Subsample (Black, mother <=HS)",NA,NA,NA,98,0.931758239166668,0.181592598815628,1.50032938128263e-06,1.06183275118708,0.204517181306776,1.16333752527625e-06
"ABC","Complement of subsample",NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"ABC","White",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
