"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"any","ehsmixed_center",TRUE,"ITT","short","m_iq",0.0179302664928904,0.00652217746929433,0.00642805751520091,NA,245
"any","ehsmixed_center",TRUE,"ITT","short","m_age",0.00548003585615586,0.00940407509697894,0.560619957818895,NA,245
"any","ehsmixed_center",TRUE,"LATE","none","Constant",-0.658037101880021,0.0995027862591893,2.37083642574812e-10,41.1680377335889,245
"any","ehsmixed_center",TRUE,"LATE","none","D",0.662030711156536,0.301902438306919,0.0292656745731101,41.1680377335889,245
"any","ehsmixed_center",TRUE,"LATE","all","Constant",-3.19854806892427,1.32722962368649,0.0167212670975421,41.9462430458077,245
"any","ehsmixed_center",TRUE,"LATE","all","D",0.637960038306341,0.298537269713534,0.0336305123087647,41.9462430458077,245
"any","ehsmixed_center",TRUE,"LATE","all","m_iq",0.0158420293306884,0.00675973539070494,0.019930237123885,41.9462430458077,245
"any","ehsmixed_center",TRUE,"LATE","all","sex",-0.214404885275473,0.106613011008793,0.0454567237656666,41.9462430458077,245
"any","ehsmixed_center",TRUE,"LATE","all","m_age",-0.00249249977551338,0.0108822050241858,0.819033365868045,41.9462430458077,245
"any","ehsmixed_center",TRUE,"LATE","all","sibling",-0.00613718767662288,0.0423021294895813,0.884771634505891,41.9462430458077,245
"any","ehsmixed_center",TRUE,"LATE","all","gestage",0.0346549216078342,0.0289969031571465,0.233237824549077,41.9462430458077,245
"any","ehsmixed_center",TRUE,"LATE","all","mf",0.128680587769258,0.230592775441255,0.57734430083602,41.9462430458077,245
"any","ehsmixed_center",TRUE,"LATE","all","poverty",0.0551126016769925,0.186777609543817,0.768199280980239,41.9462430458077,245
"any","ehsmixed_center",TRUE,"LATE","short","Constant",-1.92452400557572,0.586865857674744,0.0011942483751519,43.6618983416014,245
"any","ehsmixed_center",TRUE,"LATE","short","D",0.691218583894174,0.295273912486402,0.0200513657616904,43.6618983416014,245
"any","ehsmixed_center",TRUE,"LATE","short","m_iq",0.0156480057067936,0.006761837381,0.0215004292755654,43.6618983416014,245
"any","ehsmixed_center",TRUE,"LATE","short","m_age",-0.00283826059855885,0.0102264408870827,0.781602361762832,43.6618983416014,245
"any","ehscenter",FALSE,"ITT","none","Constant",-0.242531230635508,0.0765481316119589,0.00165954384747028,NA,375
"any","ehscenter",FALSE,"ITT","none","R",0.184036294371584,0.100167808288209,0.0669639369315216,NA,375
"any","ehscenter",FALSE,"ITT","all","Constant",-3.17141016031555,1.19220639750199,0.00815775323617641,NA,375
"any","ehscenter",FALSE,"ITT","all","R",0.182515183435554,0.0940853886489793,0.0531674768249208,NA,375
"any","ehscenter",FALSE,"ITT","all","m_iq",0.0224363619386075,0.00601544213407543,0.000222281221256852,NA,375
"any","ehscenter",FALSE,"ITT","all","black",-0.341722418289544,0.104118204108543,0.00113049606493712,NA,375
"any","ehscenter",FALSE,"ITT","all","sex",-0.0897609044167657,0.0937244603532056,0.338846143435087,NA,375
"any","ehscenter",FALSE,"ITT","all","m_age",-0.00639960001407904,0.00867394100217394,0.461115018093912,NA,375
"any","ehscenter",FALSE,"ITT","all","m_edu_2",0.120713380641289,0.11694008679489,0.302634352869734,NA,375
"any","ehscenter",FALSE,"ITT","all","m_edu_3",0.391298637861844,0.132174331102707,0.00327353124303599,NA,375
"any","ehscenter",FALSE,"ITT","all","sibling",-0.0141138835768388,0.0520860109704225,0.786566096984259,NA,375
"any","ehscenter",FALSE,"ITT","all","gestage",0.0286030884113746,0.0266297150065761,0.28348944854259,NA,375
"any","ehscenter",FALSE,"ITT","all","mf",-0.0141763811646715,0.123047791050955,0.908342084435322,NA,375
"any","ehscenter",FALSE,"ITT","all","poverty",0.00481812859340287,0.144803855940852,0.973474787606622,NA,375
"any","ehscenter",FALSE,"ITT","short","Constant",-3.33280714811363,0.481302497210925,1.93611694785857e-11,NA,375
"any","ehscenter",FALSE,"ITT","short","R",0.19221339499486,0.0949800512950559,0.0437149491772996,NA,375
"any","ehscenter",FALSE,"ITT","short","m_iq",0.034777037028775,0.0053324810774173,2.27741453813818e-10,NA,375
"any","ehscenter",FALSE,"ITT","short","m_age",-0.000141224032565064,0.00811932945508805,0.986131997920958,NA,375
"any","ehscenter",FALSE,"LATE","none","Constant",-0.293832015304538,0.0979157608713535,0.00287316683689273,176.504021461366,375
"any","ehscenter",FALSE,"LATE","none","D",0.320116896334748,0.171409871969366,0.0626085619841779,176.504021461366,375
"any","ehscenter",FALSE,"LATE","all","Constant",-2.86098667990494,1.1950305490056,0.0171693965250891,187.085853654286,375
"any","ehscenter",FALSE,"LATE","all","D",0.322892711944334,0.165898556631275,0.0523867963504042,187.085853654286,375
"any","ehscenter",FALSE,"LATE","all","m_iq",0.0202504777786572,0.00607044072004955,0.000938001889000662,187.085853654286,375
"any","ehscenter",FALSE,"LATE","all","black",-0.334614622673612,0.103757527224498,0.00137418218854153,187.085853654286,375
"any","ehscenter",FALSE,"LATE","all","sex",-0.078276781307103,0.0935385008884767,0.403232945812428,187.085853654286,375
"any","ehscenter",FALSE,"LATE","all","m_age",-0.0088315356684051,0.00870822383343524,0.311181713344778,187.085853654286,375
"any","ehscenter",FALSE,"LATE","all","m_edu_2",0.0829289203474307,0.11864327535362,0.485014003229637,187.085853654286,375
"any","ehscenter",FALSE,"LATE","all","m_edu_3",0.337918952456814,0.136407041552131,0.0136932113119953,187.085853654286,375
"any","ehscenter",FALSE,"LATE","all","sibling",-0.0311811000856916,0.053137797469017,0.55770480253952,187.085853654286,375
"any","ehscenter",FALSE,"LATE","all","gestage",0.0265070003160208,0.0266016602145181,0.319699392306164,187.085853654286,375
"any","ehscenter",FALSE,"LATE","all","mf",-0.0118890671754675,0.122705964268931,0.922866663477058,187.085853654286,375
"any","ehscenter",FALSE,"LATE","all","poverty",0.000173511762132608,0.144420705784282,0.999042055576671,187.085853654286,375
"any","ehscenter",FALSE,"LATE","short","Constant",-2.995640826599,0.48608187927801,1.86357254765263e-09,194.120373555458,375
"any","ehscenter",FALSE,"LATE","short","D",0.333632114706695,0.163832727753227,0.0424179742882703,194.120373555458,375
"any","ehscenter",FALSE,"LATE","short","m_iq",0.0314118614342792,0.005527750476419,2.68678719518062e-08,194.120373555458,375
"any","ehscenter",FALSE,"LATE","short","m_age",-0.00421751894942718,0.00833357010909062,0.613095532210833,194.120373555458,375
"any","ehscenter",TRUE,"ITT","none","Constant",-0.809954011135481,0.109504797339908,3.17804093379388e-11,NA,110
"any","ehscenter",TRUE,"ITT","none","R",0.478164854941001,0.14137008547576,0.00100177018422578,NA,110
"any","ehscenter",TRUE,"ITT","all","Constant",-2.80959944355519,1.89865413347306,0.14204318558868,NA,110
"any","ehscenter",TRUE,"ITT","all","R",0.519376306922035,0.144158258426136,0.000490422056344428,NA,110
"any","ehscenter",TRUE,"ITT","all","m_iq",0.021979174220203,0.00938601085944677,0.0211595538609624,NA,110
"any","ehscenter",TRUE,"ITT","all","sex",-0.174013524345505,0.143274681899596,0.22737172662975,NA,110
